UserID,NeighborCount,ReplyCount,AgreeCount,DisagreeCount,SuspendCount,SuspendReplies,SuspendAgrees,SuspendDisagrees,Stance
120,4,6,6,0,1,2,2,0,U
153,3,12,0,-12,0,0,0,0,R
179,4,8,8,0,0,0,0,0,U
184,2,7,7,0,0,0,0,0,U
205,2,2,2,0,0,0,0,0,U
440,1,1,0,-1,1,1,0,-1,R
445,3,6,0,-5,0,0,0,0,R
513,27,40,40,0,3,6,6,0,U
532,2,2,0,-2,0,0,0,0,U
544,1,2,2,0,1,2,2,0,R
548,1,3,3,0,0,0,0,0,U
560,4,6,6,0,0,0,0,0,U
575,2,7,7,0,1,2,2,0,U
619,1,1,0,-1,0,0,0,0,R
751,3,6,0,0,0,0,0,0,N
852,2,2,0,-2,0,0,0,0,U
905,1,2,2,0,0,0,0,0,U
936,2,2,1,-1,1,1,1,0,U
961,2,2,2,0,1,1,1,0,U
964,4,23,4,0,0,0,0,0,U
1167,5,5,3,-2,1,1,0,-1,U
1260,3,20,20,0,0,0,0,0,U
1280,1,1,1,0,0,0,0,0,U
1331,1,3,3,0,0,0,0,0,U
1356,5,9,9,0,0,0,0,0,U
1399,2,2,2,0,1,1,1,0,U
1403,1,1,0,-1,0,0,0,0,R
1420,2,2,2,0,1,1,1,0,U
1714,6,9,7,-2,0,0,0,0,U
1715,8,9,9,0,0,0,0,0,U
1822,1,1,1,0,0,0,0,0,U
1829,1,1,1,0,0,0,0,0,U
1831,5,8,8,0,1,1,1,0,U
1857,1,2,2,0,0,0,0,0,U
1955,1,1,1,0,1,1,1,0,U
2100,27,109,90,-8,2,2,2,0,U
2182,4,23,23,0,0,0,0,0,U
2184,1,1,1,0,0,0,0,0,U
2266,4,9,9,0,1,1,1,0,U
2273,5,6,6,0,4,5,5,0,U
2379,1,1,1,0,1,1,1,0,U
2425,11,17,15,-2,2,4,4,0,U
2433,1,2,2,0,0,0,0,0,U
2594,2,2,0,-2,0,0,0,0,R
2596,2,3,2,-1,0,0,0,0,R
2631,9,23,19,-4,3,15,15,0,U
2636,1,3,3,0,1,3,3,0,R
2644,2,5,5,0,1,1,1,0,U
2659,10,19,19,0,4,8,8,0,U
2717,1,1,0,-1,0,0,0,0,R
2778,2,2,2,0,0,0,0,0,U
2801,3,3,3,0,2,2,2,0,U
2804,2,2,0,-2,1,1,0,-1,R
2816,8,16,16,0,3,4,4,0,U
2827,3,3,3,0,0,0,0,0,U
2885,1,1,1,0,0,0,0,0,U
2949,1,1,1,0,1,1,1,0,U
2971,14,33,32,-1,2,2,2,0,U
3042,1,1,1,0,0,0,0,0,U
3059,2,2,0,-2,0,0,0,0,R
3061,2,2,0,-2,0,0,0,0,R
3117,1,1,1,0,0,0,0,0,U
3129,4,4,4,0,2,2,2,0,U
3158,4,4,4,0,1,1,1,0,U
3299,6,6,6,0,4,4,4,0,U
3328,1,3,3,0,0,0,0,0,U
3356,1,1,1,0,0,0,0,0,U
3367,2,2,2,0,1,1,1,0,U
3423,1,1,0,-1,0,0,0,0,R
3529,5,7,4,-3,0,0,0,0,U
3597,2,3,1,-2,0,0,0,0,U
3630,1,3,3,0,0,0,0,0,U
3666,3,9,1,-8,1,1,1,0,R
3699,2,6,6,0,0,0,0,0,U
3772,19,49,32,-17,3,4,4,0,U
3773,1,2,2,0,1,2,2,0,U
3893,2,2,1,-1,0,0,0,0,U
3952,2,2,2,0,0,0,0,0,U
3978,1,1,1,0,1,1,1,0,U
3984,12,20,18,-2,1,1,1,0,U
4077,4,4,4,0,1,1,1,0,U
4083,4,7,7,0,1,3,3,0,U
4122,1,1,1,0,1,1,1,0,U
4137,2,6,1,-5,1,1,1,0,U
4171,1,2,2,0,0,0,0,0,U
4226,1,1,0,-1,1,1,0,-1,U
4302,2,2,1,-1,0,0,0,0,U
4314,1,2,2,0,0,0,0,0,U
4321,4,7,6,-1,1,1,0,-1,U
4431,1,1,1,0,0,0,0,0,U
4449,2,2,0,-2,0,0,0,0,R
4453,7,9,4,-5,3,4,3,-1,U
4468,2,7,0,-7,0,0,0,0,R
4473,2,2,2,0,1,1,1,0,U
4477,1,1,1,0,0,0,0,0,U
4508,1,10,10,0,0,0,0,0,U
4743,1,3,3,0,0,0,0,0,U
4773,1,1,0,-1,0,0,0,0,R
4802,2,2,2,0,0,0,0,0,U
4899,1,9,9,0,0,0,0,0,U
4938,4,4,4,0,2,2,2,0,U
4980,3,7,0,-7,0,0,0,0,R
5086,11,16,15,-1,4,4,3,-1,U
5158,2,2,0,0,1,1,0,0,N
5165,1,1,1,0,0,0,0,0,U
5271,2,2,2,0,1,1,1,0,U
5379,2,2,0,-2,0,0,0,0,U
5414,5,9,9,0,1,1,1,0,U
5444,2,2,2,0,0,0,0,0,U
5500,4,4,2,-2,2,2,2,0,U
5527,1,1,0,0,0,0,0,0,N
5534,1,1,1,0,0,0,0,0,U
5631,3,16,0,-16,0,0,0,0,U
5684,2,2,0,-2,1,1,0,-1,R
5716,8,46,0,0,1,1,0,0,N
5797,2,4,0,-2,0,0,0,0,R
5800,8,9,9,0,0,0,0,0,U
5875,3,4,0,-4,1,1,0,-1,R
5885,6,8,2,-6,2,2,0,-2,R
5918,5,8,0,-8,1,1,0,-1,R
5980,6,8,7,-1,4,5,4,-1,U
6038,1,1,0,-1,0,0,0,0,R
6149,1,14,0,-14,0,0,0,0,R
6217,41,87,85,-1,4,8,7,-1,U
6234,1,3,3,0,0,0,0,0,U
6328,4,9,8,-1,0,0,0,0,U
6402,1,1,0,-1,0,0,0,0,U
6427,1,2,2,0,1,2,2,0,U
6535,1,1,0,-1,0,0,0,0,R
6609,1,1,1,0,0,0,0,0,U
6630,1,2,2,0,0,0,0,0,U
6689,2,2,1,-1,0,0,0,0,U
6725,1,2,2,0,0,0,0,0,U
6828,2,4,3,-1,1,1,0,-1,R
6962,1,1,1,0,1,1,1,0,U
6971,7,11,11,0,2,3,3,0,U
7006,1,1,1,0,0,0,0,0,R
7007,1,1,1,0,0,0,0,0,U
7012,1,3,3,0,1,3,3,0,U
7104,5,16,1,-15,2,7,1,-6,U
7134,1,2,0,-2,0,0,0,0,R
7187,1,2,2,0,0,0,0,0,U
7266,2,2,2,0,0,0,0,0,U
7269,7,10,9,-1,3,4,3,-1,U
7282,1,1,1,0,0,0,0,0,U
7447,1,1,1,0,1,1,1,0,U
7448,2,2,0,-1,1,1,0,-1,R
7508,1,1,1,0,0,0,0,0,U
7705,14,17,14,-2,0,0,0,0,U
7767,4,4,4,0,1,1,1,0,U
7798,4,8,8,0,0,0,0,0,U
7819,2,2,1,-1,0,0,0,0,U
7821,2,3,3,0,0,0,0,0,U
7832,2,2,0,-2,1,1,0,-1,R
7884,2,2,1,-1,1,1,1,0,U
7895,1,1,0,0,0,0,0,0,N
7965,1,1,0,-1,0,0,0,0,R
8028,1,1,1,0,0,0,0,0,U
8078,15,21,17,0,0,0,0,0,U
8099,1,1,1,0,0,0,0,0,U
8199,1,2,2,0,0,0,0,0,U
8338,2,2,1,0,0,0,0,0,U
8592,1,1,1,0,0,0,0,0,R
8630,1,1,1,0,1,1,1,0,U
8669,1,1,0,-1,0,0,0,0,U
8722,3,8,0,-8,0,0,0,0,R
8736,2,2,2,0,1,1,1,0,U
8861,2,2,2,0,0,0,0,0,U
8878,3,7,3,-4,1,4,0,-4,U
9003,2,2,2,0,0,0,0,0,U
9021,3,3,3,0,2,2,2,0,U
9112,3,3,3,0,0,0,0,0,U
9223,2,6,6,0,0,0,0,0,U
9254,2,2,2,0,1,1,1,0,U
9356,1,1,0,0,0,0,0,0,N
9429,2,2,2,0,0,0,0,0,U
9538,1,1,0,-1,1,1,0,-1,U
9605,2,7,1,-6,0,0,0,0,U
9624,6,8,0,-8,0,0,0,0,R
9645,1,1,1,0,0,0,0,0,U
9661,1,1,1,0,0,0,0,0,U
9693,1,1,1,0,1,1,1,0,U
9757,2,2,2,0,0,0,0,0,U
9938,1,1,0,-1,0,0,0,0,U
9983,1,1,1,0,1,1,1,0,U
10058,1,2,2,0,0,0,0,0,U
10106,1,1,0,0,0,0,0,0,R
10138,1,1,1,0,0,0,0,0,U
10143,14,29,29,0,0,0,0,0,U
10182,2,2,2,0,0,0,0,0,U
10230,1,2,2,0,0,0,0,0,U
10234,1,1,1,0,0,0,0,0,U
10238,1,1,1,0,1,1,1,0,U
10314,2,2,2,0,1,1,1,0,U
10329,1,1,1,0,0,0,0,0,R
10357,2,2,0,-2,1,1,0,-1,R
10364,3,5,5,0,2,2,2,0,U
10375,1,1,1,0,0,0,0,0,U
10408,2,2,2,0,0,0,0,0,U
10445,3,3,3,0,0,0,0,0,U
10548,11,19,19,0,2,4,4,0,U
10559,1,1,1,0,0,0,0,0,U
10574,3,4,2,-2,0,0,0,0,R
10584,2,2,2,0,1,1,1,0,U
10592,1,2,2,0,0,0,0,0,U
10626,5,45,45,0,2,3,3,0,U
10679,2,2,1,-1,0,0,0,0,U
10724,4,12,12,0,0,0,0,0,U
10746,2,2,2,0,0,0,0,0,U
10767,4,4,4,0,1,1,1,0,U
10769,4,6,6,0,0,0,0,0,U
10773,2,2,1,-1,0,0,0,0,U
10777,1,1,1,0,0,0,0,0,U
10940,2,2,1,-1,0,0,0,0,U
10997,5,8,8,0,2,3,3,0,U
11004,1,2,0,-2,0,0,0,0,U
11069,2,8,0,-8,0,0,0,0,R
11079,2,2,2,0,1,1,1,0,U
11300,1,1,1,0,0,0,0,0,U
11316,5,5,5,0,3,3,3,0,U
11366,2,2,2,0,1,1,1,0,U
11419,1,1,0,-1,0,0,0,0,U
11463,1,1,1,0,1,1,1,0,U
11521,2,7,0,-7,0,0,0,0,R
11547,1,3,3,0,0,0,0,0,U
11581,1,1,1,0,0,0,0,0,U
11658,23,76,76,0,2,2,2,0,U
11678,1,1,1,0,0,0,0,0,U
11718,2,3,0,-3,0,0,0,0,U
11772,4,4,4,0,0,0,0,0,U
11798,1,1,1,0,0,0,0,0,U
11890,8,8,8,0,0,0,0,0,U
11893,2,3,2,-1,1,2,2,0,U
11906,2,2,2,0,0,0,0,0,U
11927,1,3,3,0,0,0,0,0,U
11969,1,1,0,-1,0,0,0,0,U
12007,6,6,6,0,0,0,0,0,U
12045,5,14,14,0,3,7,7,0,U
12108,1,1,1,0,0,0,0,0,U
12152,5,5,5,0,1,1,1,0,U
12180,6,34,20,0,0,0,0,0,U
12185,1,1,1,0,1,1,1,0,U
12226,1,1,1,0,0,0,0,0,U
12227,5,13,11,-1,1,1,0,-1,U
12317,5,15,15,0,1,3,3,0,U
12431,2,3,0,-3,0,0,0,0,U
